DateTime,Value
2020-02-01 00:00,259
2020-02-01 00:01,267
2020-02-01 00:02,270
2020-02-01 00:03,268
2020-02-01 00:04,262
2020-02-01 00:05,263
2020-02-01 00:06,263
2020-02-01 00:07,257
2020-02-01 00:08,258
2020-02-01 00:09,259
2020-02-01 00:10,264
2020-02-01 00:11,262
2020-02-01 00:12,269
2020-02-01 00:13,269
2020-02-01 00:14,271
2020-02-01 00:15,269
2020-02-01 00:16,264
2020-02-01 00:17,263
2020-02-01 00:18,265
2020-02-01 00:19,267
2020-02-01 00:20,261
2020-02-01 00:21,261
2020-02-01 00:22,261
2020-02-01 00:23,265
2020-02-01 00:24,267
2020-02-01 00:25,269
2020-02-01 00:26,270
2020-02-01 00:27,266
2020-02-01 00:28,269
2020-02-01 00:29,267
2020-02-01 00:30,264
2020-02-01 00:31,259
2020-02-01 00:32,261
2020-02-01 00:33,256
2020-02-01 00:34,259
2020-02-01 00:35,259
2020-02-01 00:36,262
2020-02-01 00:37,268
2020-02-01 00:38,268
2020-02-01 00:39,263
2020-02-01 00:40,260
2020-02-01 00:41,266
2020-02-01 00:42,258
2020-02-01 00:43,257
2020-02-01 00:44,257
2020-02-01 00:45,256
2020-02-01 00:46,257
2020-02-01 00:47,260
2020-02-01 00:48,263
2020-02-01 00:49,263
2020-02-01 00:50,270
2020-02-01 00:51,263
2020-02-01 00:52,261
2020-02-01 00:53,258
2020-02-01 00:54,266
2020-02-01 00:55,260
2020-02-01 00:56,259
2020-02-01 00:57,254
2020-02-01 00:58,256
2020-02-01 00:59,258
2020-02-01 01:00,262
2020-02-01 01:01,262
2020-02-01 01:02,258
2020-02-01 01:03,258
2020-02-01 01:04,255
2020-02-01 01:05,250
2020-02-01 01:06,246
2020-02-01 01:07,249
2020-02-01 01:08,244
2020-02-01 01:09,242
2020-02-01 01:10,240
2020-02-01 01:11,242
2020-02-01 01:12,248
2020-02-01 01:13,245
2020-02-01 01:14,248
2020-02-01 01:15,254
2020-02-01 01:16,256
2020-02-01 01:17,249
2020-02-01 01:18,244
2020-02-01 01:19,247
2020-02-01 01:20,245
2020-02-01 01:21,248
2020-02-01 01:22,241
2020-02-01 01:23,249
2020-02-01 01:24,254
2020-02-01 01:25,255
2020-02-01 01:26,252
2020-02-01 01:27,250
2020-02-01 01:28,248
2020-02-01 01:29,249
2020-02-01 01:30,250
2020-02-01 01:31,250
2020-02-01 01:32,250
2020-02-01 01:33,249
2020-02-01 01:34,249
2020-02-01 01:35,256
2020-02-01 01:36,254
2020-02-01 01:37,253
2020-02-01 01:38,260
2020-02-01 01:39,248
2020-02-01 01:40,249
2020-02-01 01:41,249
2020-02-01 01:42,247
2020-02-01 01:43,251
2020-02-01 01:44,250
2020-02-01 01:45,243
2020-02-01 01:46,254
2020-02-01 01:47,251
2020-02-01 01:48,258
2020-02-01 01:49,258
2020-02-01 01:50,255
2020-02-01 01:51,256
2020-02-01 01:52,253
2020-02-01 01:53,252
2020-02-01 01:54,252
2020-02-01 01:55,253
2020-02-01 01:56,253
2020-02-01 01:57,249
2020-02-01 01:58,250
2020-02-01 01:59,251
2020-02-01 02:00,260
2020-02-01 02:01,260
2020-02-01 02:02,267
2020-02-01 02:03,257
2020-02-01 02:04,255
2020-02-01 02:05,252
2020-02-01 02:06,254
2020-02-01 02:07,253
2020-02-01 02:08,252
2020-02-01 02:09,255
2020-02-01 02:10,256
2020-02-01 02:11,249
2020-02-01 02:12,257
2020-02-01 02:13,253
2020-02-01 02:14,256
2020-02-01 02:15,251
2020-02-01 02:16,248
2020-02-01 02:17,245
2020-02-01 02:18,246
2020-02-01 02:19,245
2020-02-01 02:20,252
2020-02-01 02:21,247
2020-02-01 02:22,249
